menu,kcal,price
핫클라쓰 세트,"1,231","7,200"
1인혼닭 세트,801,"11,500"
핫클라쓰,837,"5,400"
1인혼닭,581,"10,000"
찐氷,530,"3,800"
아이스티,160,"2,200"
마일드클라쓰 세트,"1,095","6,300"
패밀리팩,"1,712","13,600"
마일드클라쓰,701,"4,300"
치킨휠레 (4조각),366,"4,500"
치즈인더에그,183,"3,000"
아이스 아메리카노 L,55,"2,500"
리아미라클버거 세트,968,"7,400"
치킨풀팩,"2,590","18,800"
리아미라클버거,574,"5,600"
화이어윙 (2조각),176,"2,500"
지파이 하바네로(L),566,"4,300"
핫초코,151,"2,000"
와규 에디션Ⅱ 세트,892,"7,600"
치킨하프팩,"1,232","9,300"
와규 에디션Ⅱ,497,"5,800"
화이어윙 (4조각),353,"4,500"
지파이 고소한맛(S),422,"3,400"
오렌지주스 (400ml PET),175,"2,500"
더블X2 세트,"1,125","7,500"
순살치킨 풀팩,"1,477","15,900"
더블X2,730,"5,500"
치킨1조각,272,"2,300"
치킨 너겟,198,"1,200"
우유,179,"1,500"
새우버거 세트,886,"5,900"
순살치킨 하프팩,739,"8,900"
새우버거,492,"3,900"
치킨휠레 (2조각),183,"2,500"
롱 치즈스틱(1조각),156,"1,800"
사이다(R),133,"1,700"
치킨버거 세트,779,"5,100"
치킨버거,355,"2,900"
콘샐러드,146,"1,700"
콜라(R),128,"1,700"
T-Rex 버거 세트,870,"5,900"
T-Rex,475,"3,700"
선데아이스크림(스트로베리),249,"1,500"
밀크쉐이크(딸기),219,"2,100"
AZ버거 세트,941,"8,300"
클래식 치즈버거,483,"4,400"
쉑쉑치킨(칠리),253,"2,500"
밀크쉐이크(초코),245,"2,100"
클래식 치즈버거 세트,877,"6,400"
한우불고기,539,"7,000"
쉑쉑치킨(치즈),259,"2,500"
밀크쉐이크(바닐라),228,"2,100"
한우연인팩,"1,714","13,900"
모짜렐라 인 더 버거 - 베이컨,715,"6,000"
쉑쉑치킨(어니언),265,"2,500"
아메리카노,34,"2,000"
한우불고기 콤보,677,"8,000"
AZ버거,547,"6,600"
양념감자,359,"2,000"
아이스 아메리카노,32,"2,000"
한우불고기 세트,933,"8,700"
원조 빅불,672,"5,800"
오징어링,178,"2,200"
카페라떼,210,"2,400"
한우명품팩,"1,830","15,600"
핫크리스피버거,503,"4,900"
치즈스틱,160,"2,000"
아이스 카페라떼,98,"2,400"
모짜렐라 인 더 버거 베이컨 세트,"1,109","7,700"
불고기버거,442,"3,900"
포테이토,267,"1,500"
레몬에이드,151,"2,500"
원조 빅불 세트,"1,067","7,600"
데리버거,356,"2,500"
토네이도(초코쿠키),308,"2,300"
핫크리스피버거세트,898,"6,700"
토네이도(녹차),244,"2,300"
데리버거 세트,750,"4,900"
토네이도(스트로베리),272,"2,400"
불고기버거 세트,836,"5,900"
소프트콘,145,700
